,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,1.58E-05,1,1,274.2691615
1,1,Sirius,8.6,2.1,1.71,196.9717996
2,3,Alpha Centauri,4.4,1.1,1.2,209.511165
3,12,Altair,17,1.8,1.8,152.3717564
4,18,Fomalhaut,25,1.9,1.8,160.8368539
5,52,Tau Ceti,11.9,0.783,0.893,269.2996711
6,53,Delta Pavonis,19.92,0.991,1.22,182.6126975
7,59,Titawin,44.25,1.27,1.48,159.0220211
8,67,54 Piscium,36.1,0.76,0.94,235.9037604
9,72,HD 140283,190,2,1.4,279.8664913
10,81,KIC 8462852,1470,1.43,1.58,157.1081962
11,86,YBP 1194,2772,1.01,0.99,282.6363158
12,96,2MASS J00040288-6410358,192,0.018137172,0.16750369,177.2955327
13,103,2MASSW J0045214+163445,57,0.021955524,0.16647606,217.2787268
14,104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,176.0410467
15,109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,188.9380233
16,110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,191.2923684
17,113,2MASS J02103857-3015313,101,0.01431882,0.15722739,158.8648431
18,114,2MASS J02340093-6442068,155,0.01909176,0.16647606,188.9380233
19,115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,336.7014135
20,124,2MASS J03231002-4631237,192,0.021955524,0.17058658,206.9336226
21,126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,264.0615701
22,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383
23,137,2MASS J04362788-4114465,142,0.037228932,0.20244311,249.144644
24,139,2MASS J04433764+0002040,82,0.021000936,0.18291814,172.1480378
25,143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,273.3886766
26,147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362
27,173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,336.7014135
28,180,TWA 28,180,0.034365168,0.24560357,156.2521852
29,184,TWA 26,137,0.02863764,0.2260786,153.6721947
30,200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,298.8070453
31,225,2MASSI J1726000+153819,114,0.022910112,0.1438682,303.5809887
32,231,2MASS J20004841-7523070,105,0.0238647,0.19319444,175.3653195
33,239,2MASSW J2206450-421721,93,0.021000936,0.13667479,308.3463413
34,240,2MASSW J2208136+292121,154,0.025773876,0.14489583,336.7014135
35,244,2MASSW J2244316+204343,56,0.011455056,0.13256427,178.780944
36,245,2MASS J23224684-3133231,56,0.022910112,0.14284057,307.964773
37,246,2MASS J23225299-6151275,148,0.016227996,0.16339317,166.7147684
